WARNING: 1 open meshes merged
     Merged: H_Tail
...Slice...
4 Num Comps
5 Total Num Meshes
3200 Total Num Tris
1.00000 0.00000 0.00000 Axis Vector

    Loc    XCenter  YCenter  ZCenter         Area
   -0.000     0.000     0.000     0.000     0.000
    0.078     0.078    -0.000    -0.000     0.019
    0.156     0.156    -0.000     0.000     0.033
    0.233     0.233    -0.000    -0.000     0.042
    0.311     0.311     0.000    -0.000     0.047
    0.389     0.389    -0.000     0.000     0.048
    0.467     0.467     0.000     0.095     0.102
    0.545     0.545    -0.000     0.084     0.091
    0.622     0.622    -0.000     0.037     0.061
    0.700     0.700    -0.000     0.000     0.048
    0.778     0.778    -0.000     0.000     0.048
    0.856     0.856    -0.000    -0.000     0.048
    0.934     0.934     0.000    -0.000     0.048
    1.011     1.011    -0.000    -0.000     0.046
    1.089     1.089    -0.000    -0.000     0.040
    1.167     1.167    -0.000    -0.000     0.029
    1.245     1.245    -0.000     0.025     0.019
    1.323     1.323    -0.000     0.092     0.009
    1.400     1.400    -0.000     0.057     0.003
    1.478     0.000     0.000     0.000     0.000
