...Slice...
1 Num Comps
1 Total Num Meshes
6747 Total Num Tris
1.00000 0.00000 0.00000 Axis Vector

    Loc    XCenter  YCenter  ZCenter         Area
   -0.000     0.000     0.000     0.000     0.000
    0.072     0.072    -0.000     0.000     0.002
    0.144     0.144     0.000    -0.007     0.003
    0.217     0.217    -0.000    -0.000     0.003
    0.289     0.289     0.000    -0.000     0.008
    0.361     0.361    -0.000    -0.000     0.008
    0.433     0.433     0.000    -0.000     0.010
    0.506     0.506     0.000    -0.000     0.004
    0.578     0.578     0.000    -0.000     0.011
    0.650     0.000     0.000     0.000     0.000
